Funder Group,Member Name
ABFE,Colorado Blacks in Philanthropy
ABFE,Greater Philadelphia Black Philanthropic Network
ABFE,Indiana Blacks iin Philanthropy
ABFE,Michigan Forum for African Americans in Philanthropy
ABFE,Minnesota Blacks in Philanthropy
ABFE,New England Blacks in Philanthropy
ABFE,New York Blacks in Philanthropy
ABFE,Bay Area Black in Philanthropy
ABFE,Southeastern Network of African Americans in Philanthropy
ABFE,Southern California Blacks in Philanthropy
ABFE,Black Philanthropic Alliance
ABFE,Ujima South
ABFE,African American Funders Group of Southwestern PA
ABFE,Chicago African Americans in Philanthropy
Christian Funders Forum,3W Foundation and EGCC
Christian Funders Forum,Culham St Gabriel's
Christian Funders Forum,Deo Gloria
Christian Funders Forum,Andrews Charitable Trust
Christian Funders Forum,Grant Bradley Charitable Trust
Christian Funders Forum,Hinchley Trust
Christian Funders Forum,John James Trust
Christian Funders Forum,JW Laing Trust
Christian Funders Forum,McLellan Foundation
Christian Funders Forum,Mercers
Christian Funders Forum,Mr Willat's Charity
Christian Funders Forum,National Churches Trust
Christian Funders Forum,Porticus
Christian Funders Forum,Sir Halley Stewart Trust
Christian Funders Forum,Sir Peter Salters Trust
Christian Funders Forum,Smith Bradbeer Charitable Trust
Christian Funders Forum,Speaking Volumes
Christian Funders Forum,St Peter's Saltley Trust
Christian Funders Forum,Stewardship
Christian Funders Forum,The Benefact Trust
Christian Funders Forum,The Big Give
Christian Funders Forum,The Bishop Radford Trust
Christian Funders Forum,The Henry Smith Charity
Christian Funders Forum,The Jospeh Rank Trust
Christian Funders Forum,The Laing Family Trusts
Christian Funders Forum,The Launderdale Trust
Christian Funders Forum,The London Institute for Contemporary Christianity
Christian Funders Forum,The Paristamen Charity
Christian Funders Forum,The Peter Vardy Foundation
Christian Funders Forum,The Rank Foundation
Christian Funders Forum,The Vardy Foundation
Christian Funders Forum,The Wolfson Foundation
Christian Funders Forum,Westhill Trust
Christian Funders Forum,Childs Charitable Trust
Christian Funders Forum,Church Urban Fund
Christian Funders Forum,Churches Together in England
Christian Funders Forum,Cinnamon Network
Connecticut Council for Philanthropy,CohnReznick
Connecticut Council for Philanthropy,Comcast
Connecticut Council for Philanthropy,Community Foundation of Greater New Britain
Connecticut Council for Philanthropy,Connecticut Bar Foundation
Connecticut Council for Philanthropy,Connecticut Community Foundation
Connecticut Council for Philanthropy,Connecticut Health and Educational Facilities Authority
Connecticut Council for Philanthropy,Donaghue Foundation
Connecticut Council for Philanthropy,Edward C. and Ann T. Roberts Foundation
Connecticut Council for Philanthropy,Elizabeth Carse Foundation
Connecticut Council for Philanthropy,Ensworth Charitable Foundation
Connecticut Council for Philanthropy,Ethel and Abe Lapides Foundation
Connecticut Council for Philanthropy,Eversource Energy
Connecticut Council for Philanthropy,Farmington Bank Community Foundation
Connecticut Council for Philanthropy,American Savings Foundation
Connecticut Council for Philanthropy,Foundation for Community Health
Connecticut Council for Philanthropy,George H.C. Ensworth Memorial Fund
Connecticut Council for Philanthropy,H.A. Vance Foundation
Connecticut Council for Philanthropy,J. Walton Bissell Foundation
Connecticut Council for Philanthropy,Jeffrey P. Ossen Family Foundation
Connecticut Council for Philanthropy,Jeniam Foundation
Connecticut Council for Philanthropy,Jewish Community Foundation for Greater Hartford
Connecticut Council for Philanthropy,JPMorgan Chase & Co.
Connecticut Council for Philanthropy,"Leon Lowenstein Foundation, Inc."
